bcr_patient_barcode,dataset,GATA3,PTEN,XBP1,ESR1,MUC1,FN1,GAPDH
BRCA263,BRCA,-0.71925,0.7199285714,-2.210416667,-0.4063333333,-1.698,-1.667125,-0.1935
BRCA264,BRCA,1.9925,0.4492142857,4.322083333,5.921,1.105625,-1.178,-1.211416667
BRCA265,BRCA,2.352375,0.06371428571,2.33475,2.375,3.517625,-0.2628333333,-0.4673333333
BRCA266,BRCA,1.218875,1.548285714,3.626333333,-1.48925,2.6365,0.3024166667,-1.232166667
BRCA267,BRCA,1.585625,1.428785714,1.216916667,4.39525,0.777625,-0.9167916667,-0.9703333333
BRCA268,BRCA,3.293375,1.032142857,3.081833333,3.5585,2.48575,0.4407083333,-1.640083333
BRCA269,BRCA,-3.10275,-0.6247857143,-0.1753333333,-3.208833333,2.4355,-0.8735833333,0.4335
BRCA270,BRCA,1.864375,0.4104285714,2.087583333,2.332916667,2.45975,-0.6964166667,-0.4765
BRCA271,BRCA,2.77875,1.2625,2.393416667,4.943083333,3.201,-0.6817916667,-0.2598333333
BRCA272,BRCA,-1.232125,0.5859285714,-0.85125,-1.5095,1.701875,0.444,-0.2788333333
BRCA273,BRCA,-0.5285,-0.5922142857,-1.83025,-4.69925,-1.493875,-0.324625,-0.1998333333
BRCA274,BRCA,-0.768,-0.7341428571,0.06591666667,-0.2055833333,1.215125,0.3777083333,-0.5083333333
BRCA275,BRCA,-0.67325,0.7036428571,-0.75525,-1.222083333,2.051125,0.042625,-1.506416667
BRCA276,BRCA,1.66825,1.03,2.08175,3.067333333,2.2725,-0.676375,-0.9160833333
BRCA277,BRCA,1.38825,1.991,2.209916667,3.061833333,3.5255,1.340166667,-1.316666667
BRCA278,BRCA,1.221875,0.8387142857,2.77525,2.840833333,3.430625,0.2639583333,-1.35375
BRCA279,BRCA,-1.234375,1.248857143,0.5540833333,-0.34,0.559625,0.5907916667,-1.351416667
BRCA280,BRCA,2.418875,1.344285714,2.28425,3.641,2.01475,1.057083333,-0.41825
BRCA281,BRCA,-0.40875,0.8896428571,0.7378333333,-1.566333333,0.21025,-0.90575,-0.26325
BRCA282,BRCA,-0.15525,0.7650714286,-1.909,-0.62475,-0.164125,0.72375,-1.639416667
BRCA283,BRCA,1.72425,0.1577857143,2.58725,4.15225,3.864625,1.416666667,-0.4000833333
BRCA284,BRCA,1.3145,1.4025,1.878666667,1.435333333,3.590875,3.007958333,-0.3505833333
BRCA285,BRCA,1.35925,1.414214286,2.3185,2.940416667,1.895875,0.4512083333,-0.9364166667
BRCA286,BRCA,1.56525,1.0995,2.343166667,3.24025,-0.760625,0.04720833333,-1.138083333
BRCA287,BRCA,1.564875,1.126357143,2.89675,4.48275,3.472,1.032666667,-1.44975
BRCA288,BRCA,1.152375,0.799,2.285083333,2.639666667,2.485875,0.3508333333,-1.593166667
BRCA289,BRCA,-2.38375,-1.031285714,-1.513833333,-0.9379166667,0.22975,0.7719583333,-0.3469166667
BRCA290,BRCA,-2.087375,1.330571429,-1.216083333,1.453916667,-0.407625,-1.578375,-0.4709166667
BRCA291,BRCA,2.6605,0.4695714286,1.582,2.627333333,2.28475,0.2335416667,-1.4655
BRCA292,BRCA,-3.80825,0.4307142857,-1.502583333,-3.569666667,0.147875,0.824,-0.5765833333
BRCA293,BRCA,1.64125,-0.3627142857,3.17225,2.506416667,3.0785,0.108625,-0.9165833333
BRCA294,BRCA,1.898625,1.592714286,2.819333333,4.034666667,3.046625,-0.066125,-0.8495
BRCA295,BRCA,2.507,1.281714286,2.179416667,3.491333333,3.147125,-0.87825,-1.462
BRCA296,BRCA,2.52325,-0.6195714286,2.828,4.665583333,3.16975,-0.6905416667,-1.582666667
BRCA297,BRCA,2.378,1.8145,3.1335,5.181666667,2.228,-2.072458333,-1.354916667
BRCA298,BRCA,1.360875,0.9016428571,1.977333333,2.08425,1.500375,-1.521541667,-2.262833333
BRCA299,BRCA,2.597,0.6583571429,1.6905,3.3165,2.9585,0.34475,-1.231416667
BRCA300,BRCA,2.538875,0.83,1.778833333,3.15675,3.511375,-0.62625,-2.284
BRCA301,BRCA,-1.99325,0.593,-0.03683333333,-0.3453333333,2.13575,0.6995416667,-1.14775
BRCA302,BRCA,-0.133125,0.2888571429,1.9375,-2.180833333,3.0765,0.306875,-0.6815
BRCA303,BRCA,2.46625,1.3055,2.941416667,4.98825,3.056375,1.048666667,-1.801833333
BRCA304,BRCA,1.104875,0.5796428571,0.9144166667,3.729583333,-0.095875,-0.5735,-1.19125
BRCA305,BRCA,2.334125,-0.07678571429,2.889333333,5.313666667,1.2275,-0.713,-1.293583333
BRCA306,BRCA,2.14075,0.7652857143,2.71,4.9665,2.94825,-0.255125,-1.871083333
BRCA307,BRCA,-0.547375,0.2129285714,-1.91975,-3.696083333,-0.575,-1.656625,-0.8286666667
BRCA308,BRCA,0.444875,0.5974285714,-0.9624166667,-1.121666667,0.680375,0.120625,0.3843333333
BRCA309,BRCA,3.111125,0.8196428571,3.070166667,4.154083333,2.693875,0.2561666667,-1.388166667
BRCA310,BRCA,2.1335,0.908,2.551416667,2.006,3.531375,1.399083333,0.3211666667
BRCA311,BRCA,2.24575,1.479214286,2.463666667,3.910416667,3.224625,1.996125,-1.409166667
BRCA312,BRCA,3.48275,-0.5108571429,2.61225,5.484583333,1.289625,-2.617125,-0.949
BRCA313,BRCA,2.932,0.6497142857,3.5785,5.650916667,0.620125,0.8764166667,-1.5715
BRCA314,BRCA,2.872,1.006357143,2.143666667,3.5475,2.74875,1.249125,-1.429333333
BRCA315,BRCA,1.481625,1.142928571,3.43125,4.76575,2.834875,-1.728125,-0.8115
BRCA316,BRCA,2.205875,1.214428571,3.533083333,5.07025,3.5745,1.2495,-1.9985
BRCA317,BRCA,1.463375,1.138071429,2.165583333,2.995916667,1.94225,-2.399791667,-2.135666667
BRCA318,BRCA,0.942875,0.2707142857,1.024333333,-3.607833333,1.7795,-0.2996666667,-1.235666667
BRCA319,BRCA,-0.69175,0.5452142857,0.4510833333,-1.83325,0.780625,-0.3426666667,-1.780333333
BRCA320,BRCA,-1.36025,-0.2949285714,-0.14625,-0.53125,1.174125,-0.994625,-1.05575
BRCA321,BRCA,1.87475,0.887,3.783916667,4.502166667,1.876,-1.35525,-2.14175
BRCA322,BRCA,2.615375,0.6391428571,2.868916667,4.43725,2.376125,0.652,-1.498166667
BRCA323,BRCA,1.897125,1.0745,3.2155,3.114,2.806875,1.3115,-0.86175
BRCA324,BRCA,2.64725,1.349,2.8355,4.9255,2.329875,0.2427083333,0.1016666667
BRCA325,BRCA,1.886,0.6023571429,2.562333333,4.709,3.07725,0.7871666667,-0.982
BRCA326,BRCA,-1.38775,0.1225,-1.2305,-2.741,0.743375,1.151,-1.82575
BRCA327,BRCA,1.623875,0.8980714286,1.94725,2.106666667,1.93775,-0.111,-0.8114166667
BRCA328,BRCA,2.0375,1.215285714,2.32125,4.262,3.056875,0.6201666667,-0.7663333333
BRCA329,BRCA,2.5735,0.4137857143,3.002416667,3.30975,3.127375,-0.9340416667,-1.367416667
BRCA330,BRCA,-0.7675,-0.8834285714,-1.056583333,0.7505,1.405,-0.9122916667,0.72675
BRCA331,BRCA,2.653625,1.0015,3.1435,4.254666667,2.99125,-0.63625,-0.02966666667
BRCA332,BRCA,1.903,1.2555,3.257083333,4.760583333,2.310875,-0.4009583333,-0.9051666667
BRCA333,BRCA,2.9905,0.4523571429,2.882333333,3.7495,2.268,0.3487916667,-1.346166667
BRCA334,BRCA,0.117625,1.155142857,2.001416667,2.637666667,0.808,-2.967125,-1.699166667
BRCA335,BRCA,1.532875,1.422928571,2.583583333,3.4255,2.940375,0.9090416667,-1.414416667
BRCA336,BRCA,-3.81625,0.9616428571,-0.7204166667,-3.608833333,1.9785,1.97425,0.5406666667
BRCA337,BRCA,0.4635,0.3788571429,2.498666667,-0.5985833333,3.49025,-0.08095833333,-1.0645
BRCA338,BRCA,0.442125,1.267857143,2.079666667,3.41675,1.156625,-2.394458333,-1.553916667
BRCA339,BRCA,2.022125,1.1945,2.202916667,2.689833333,2.901125,1.043583333,-1.336166667
BRCA340,BRCA,2.44675,1.203857143,2.534916667,2.284666667,3.892375,2.02875,-1.040083333
BRCA341,BRCA,2.397375,0.824,0.8689166667,2.856083333,4.2805,1.668,-0.3188333333
BRCA342,BRCA,2.068625,0.7747142857,2.890333333,4.24675,2.08025,0.084,-1.082916667
BRCA343,BRCA,1.576875,0.9432857143,2.325333333,3.550333333,1.084625,-3.00075,-1.652333333
BRCA344,BRCA,-0.138,-0.4852142857,0.1616666667,-1.630916667,2.709875,2.093541667,-0.04908333333
BRCA345,BRCA,1.86375,0.9149285714,1.103166667,3.654333333,1.613625,1.034916667,-1.544416667
BRCA346,BRCA,-3.234625,2.802785714,-1.9395,-0.4226666667,-2.335875,-2.407333333,-2.289583333
BRCA347,BRCA,2.021625,1.293571429,1.91125,2.359583333,2.974375,0.6677916667,-0.6621666667
BRCA348,BRCA,-0.337625,0.7978571429,2.57525,2.32525,1.48825,-2.909,-1.509833333
BRCA349,BRCA,0.64825,0.5990714286,1.788,-2.40875,2.42175,1.195916667,-1.89275
BRCA350,BRCA,-2.31625,2.021642857,-1.33625,0.4266666667,-2.08675,-2.219,-2.1465
BRCA351,BRCA,2.630375,1.354,3.014833333,4.946166667,2.373625,0.4286666667,-1.343333333
BRCA352,BRCA,-2.58225,0.9073571429,-1.667083333,-3.23975,-2.3405,-1.64025,0.10625
BRCA353,BRCA,0.0645,1.316,1.5475,2.924083333,1.07325,-2.721619048,-1.538166667
BRCA354,BRCA,2.29875,0.7905,2.501833333,3.5515,3.21175,1.073166667,-1.376
BRCA355,BRCA,-0.496375,2.315642857,0.1864166667,2.317416667,-0.1195,-1.442541667,-2.752416667
BRCA356,BRCA,1.828375,1.088285714,2.657833333,4.508833333,3.388625,0.2481666667,-1.405166667
BRCA357,BRCA,2.478125,1.328571429,3.294333333,2.888833333,3.724,-0.02491666667,-0.8156666667
BRCA358,BRCA,1.227125,0.5054285714,1.829416667,1.29725,1.966,2.201666667,-0.782
BRCA359,BRCA,-2.0325,0.7121428571,-0.8984166667,-2.720333333,1.426375,-0.15825,-0.61325
BRCA360,BRCA,1.008,1.355142857,1.46325,1.392,0.992875,-1.895583333,-1.191
BRCA361,BRCA,2.17125,0.7825714286,2.205,2.903333333,3.327625,0.5577916667,-1.481916667
BRCA362,BRCA,-0.282,0.26,-0.9809166667,-1.898416667,0.075125,1.428583333,-0.2186666667
BRCA363,BRCA,1.28425,1.193857143,1.35025,2.888083333,0.64975,-3.732458333,-1.693333333
BRCA364,BRCA,2.48625,0.8649285714,1.833166667,3.01875,3.530625,-0.03108333333,-1.526916667
BRCA365,BRCA,0.183625,0.8029285714,3.250583333,3.90575,3.5135,-0.2739583333,-1.849
BRCA366,BRCA,1.10275,0.7635,2.7975,4.239,2.545125,0.6504166667,-2.319833333
BRCA367,BRCA,0.511875,0.9255,1.608916667,1.244166667,1.7345,-2.591875,-1.421333333
BRCA368,BRCA,2.26775,0.9937857143,2.582416667,2.936333333,3.195375,1.300333333,-1.07925
BRCA369,BRCA,1.592375,1.378357143,0.7761666667,1.054833333,2.54125,1.40875,-0.1926666667
BRCA370,BRCA,0.92125,0.9172142857,1.304833333,2.842166667,1.225125,-3.627458333,-1.740416667
BRCA371,BRCA,2.069125,0.543,1.506833333,3.34025,3.057625,-0.09683333333,-0.91375
BRCA372,BRCA,2.49675,1.198571429,3.442583333,5.006916667,3.5125,-0.9402916667,-0.9641666667
BRCA373,BRCA,1.251875,1.544357143,1.96725,2.355916667,0.934375,-1.995875,-1.479
BRCA374,BRCA,2.27675,1.108142857,2.3525,4.5025,2.991,0.6440416667,-1.130666667
BRCA375,BRCA,-0.236375,0.7405714286,0.7885833333,1.4995,0.4485,-1.725125,-1.225833333
BRCA376,BRCA,-1.131375,-0.4497142857,-0.431,-0.699,3.139125,0.4395833333,-0.6370833333
BRCA377,BRCA,0.26675,1.423142857,1.862666667,2.799583333,0.81625,-2.209291667,-2.119583333
BRCA378,BRCA,0.64625,1.635785714,1.927,3.028666667,2.642875,1.356791667,-0.552
BRCA379,BRCA,0.8315,1.193,2.118583333,3.462666667,1.43225,-3.129833333,-1.4995
BRCA380,BRCA,2.249875,-0.5997857143,3.79875,3.936583333,1.806875,0.6430416667,-0.9638333333
BRCA381,BRCA,2.009875,1.077357143,2.82275,3.135416667,3.1245,1.028833333,-0.5395833333
BRCA382,BRCA,-0.16525,1.563142857,1.22925,1.87725,1.029375,-2.9685,-1.512333333
BRCA383,BRCA,-0.572125,1.858,1.831,2.401166667,3.8025,-0.209875,-1.18825
BRCA384,BRCA,2.596125,0.7337857143,2.631416667,4.73575,2.434125,0.7217916667,-0.9446666667
BRCA385,BRCA,-3.3595,2.253214286,-1.611166667,0.655,-1.30325,-1.4365,-2.110416667
BRCA386,BRCA,2.394,1.826857143,2.277416667,4.312166667,1.77975,0.7669166667,-2.0745
BRCA387,BRCA,1.4705,0.7633571429,2.38775,3.40125,2.654375,0.476875,-1.554083333
BRCA388,BRCA,1.63175,1.435285714,2.327916667,2.640916667,2.8505,1.039125,-1.831083333
BRCA389,BRCA,0.20275,1.344357143,0.70425,3.103166667,0.291125,-2.407833333,-2.3365
BRCA390,BRCA,2.3195,1.324857143,1.849,3.8235,3.165,-0.2328333333,-1.95325
BRCA391,BRCA,1.21325,1.588285714,1.820666667,2.246083333,1.84325,1.960375,-1.093
BRCA392,BRCA,0.537875,1.1955,3.051083333,2.712583333,2.030875,-2.755416667,-2.0545
BRCA393,BRCA,2.305375,1.530214286,2.704166667,3.0485,2.25925,0.552375,-1.958166667
BRCA394,BRCA,0.6205,1.414142857,1.315333333,2.321833333,0.223375,-1.886833333,-1.277916667
BRCA395,BRCA,-0.7945,0.8602857143,-0.4326666667,1.354416667,1.915125,0.5004583333,0.4270833333
BRCA396,BRCA,0.43975,1.269071429,1.056583333,2.554833333,0.483875,-2.78,-1.177
BRCA397,BRCA,1.71375,0.7284285714,3.700083333,4.995,3.514125,-1.234041667,-1.743666667
BRCA398,BRCA,1.055,1.334428571,3.005083333,3.52525,1.72275,-3.13925,-2.044166667
BRCA399,BRCA,2.539375,1.1665,2.464,4.153666667,3.8935,0.5422083333,-1.298833333
BRCA400,BRCA,0.483375,1.413714286,3.34425,2.566333333,1.72975,-2.32675,-1.582916667
BRCA401,BRCA,2.199625,1.209857143,2.165583333,3.044833333,2.340875,1.667541667,-1.656916667
BRCA402,BRCA,2.237125,0.499,2.288583333,3.824833333,3.887375,-0.8965,-1.5175
BRCA403,BRCA,0.305125,1.451785714,2.103333333,2.487333333,1.042375,-2.501166667,-2.384583333
BRCA404,BRCA,2.142125,1.479142857,2.0795,3.255666667,2.5925,0.37525,-1.59425
BRCA405,BRCA,0.52825,0.68,0.6460833333,1.2165,0.843,-3.79775,-1.437666667
BRCA406,BRCA,2.023625,0.6985,2.695666667,4.546916667,3.537125,1.048666667,-1.362666667
BRCA407,BRCA,0.551,1.283,2.383666667,1.188083333,2.2215,-3.062666667,-1.080083333
BRCA408,BRCA,1.416875,0.9631428571,2.227833333,1.2625,3.3685,1.962791667,-0.3581666667
BRCA409,BRCA,0.85425,1.371642857,2.401666667,1.4925,1.4335,-2.894291667,-1.891916667
BRCA410,BRCA,0.583,0.461,-1.714583333,-1.968833333,2.074,-1.899166667,-0.9774166667
BRCA411,BRCA,0.503375,1.074642857,1.744916667,2.060833333,0.3335,-3.572875,-1.810583333
BRCA412,BRCA,1.97975,1.1415,3.092583333,3.601,3.68075,-0.4869166667,-1.05775
BRCA413,BRCA,2.968375,0.9615714286,2.54575,3.37425,1.905,0.1392083333,-0.8439166667
BRCA414,BRCA,0.37475,0.4872142857,-0.8848333333,-0.621,-0.66,-0.906125,-1.759833333
BRCA415,BRCA,2.4945,1.508142857,3.525416667,4.83825,2.626875,0.2266666667,-1.396916667
BRCA416,BRCA,2.481125,0.2129285714,3.839083333,4.3205,2.522375,-1.376375,-1.543916667
BRCA417,BRCA,3.87625,0.9183571429,1.8125,3.709916667,2.830125,0.131875,-1.7135
BRCA418,BRCA,2.523375,0.9538571429,2.874166667,5.12925,3.341375,0.72875,-1.26
BRCA419,BRCA,-1.164625,0.7150714286,1.054666667,-0.9541666667,3.392,-2.490583333,-1.453666667
BRCA420,BRCA,2.871375,0.3727857143,2.881583333,3.382083333,3.31975,0.638,-0.9813333333
BRCA421,BRCA,1.823125,0.4844285714,1.137666667,2.41125,2.605625,0.7805,-0.6781666667
BRCA422,BRCA,2.162,0.9507857143,2.508416667,4.696916667,1.087375,0.8425416667,-1.060333333
BRCA423,BRCA,2.64125,0.3519285714,2.638416667,3.920333333,3.23025,-2.306041667,-1.516333333
BRCA424,BRCA,2.68275,1.133357143,0.6225,2.112833333,2.227625,0.92125,-1.439
BRCA425,BRCA,1.23,0.4650714286,2.681666667,2.780416667,1.10975,-2.538875,-1.415583333
BRCA426,BRCA,1.54275,1.453428571,2.214166667,3.178666667,2.246,-0.6145,-1.572083333
BRCA427,BRCA,1.663375,0.8051428571,3.2835,3.837583333,1.742,1.491333333,-1.669666667
BRCA428,BRCA,0.59875,1.144071429,2.241333333,3.444083333,1.779625,-2.293125,-1.508333333
BRCA429,BRCA,1.187375,1.166642857,3.184916667,3.133083333,3.147,2.036625,-0.9715
BRCA430,BRCA,-3.08825,1.667214286,-1.83725,0.644,-1.659375,-2.283791667,-2.187166667
BRCA431,BRCA,2.389125,0.3432142857,2.818333333,4.288916667,3.03375,0.168875,-1.2045
BRCA432,BRCA,0.35775,0.6837857143,2.07425,2.479166667,2.367375,-3.289875,-1.494333333
BRCA433,BRCA,2.64875,1.186,2.484,2.898416667,2.391875,0.6182083333,-1.10475
BRCA434,BRCA,2.0645,0.7841428571,2.198,5.125666667,1.3515,-0.02666666667,-1.929916667
BRCA435,BRCA,1.811875,0.9300714286,3.245666667,4.355583333,3.330625,1.404208333,-1.318916667
BRCA436,BRCA,2.14075,1.132357143,4.295583333,4.925083333,3.3125,0.379875,-1.454166667
BRCA437,BRCA,0.516,1.032285714,2.255333333,2.951583333,1.41725,-2.139,-1.664083333
BRCA438,BRCA,2.50575,1.301928571,1.1085,3.7835,3.613125,-1.538541667,-1.150416667
BRCA439,BRCA,1.487125,1.607571429,2.614333333,3.283166667,3.1965,-0.6507916667,-1.749083333
BRCA440,BRCA,2.089375,0.2725714286,3.0685,4.025916667,3.09775,-0.875125,-0.7385833333
BRCA441,BRCA,2.010375,1.063,2.286416667,4.43225,3.20075,0.4423333333,-1.667666667
BRCA442,BRCA,1.296375,0.4861428571,0.8189166667,3.375416667,2.746875,-0.8297916667,-1.346166667
BRCA443,BRCA,2.47925,0.5292142857,2.07175,5.041333333,1.184375,-1.597,-1.689166667
BRCA444,BRCA,2.279375,0.525,2.630833333,3.467583333,1.4495,0.8377083333,-1.05225
BRCA445,BRCA,1.207625,0.9654285714,2.28575,3.411916667,3.374125,1.136333333,-1.225333333
BRCA446,BRCA,0.0315,0.5846428571,0.23075,0.187,0.928375,0.1893333333,-1.148666667
BRCA447,BRCA,1.984125,1.391071429,3.321833333,5.3045,3.118625,-0.7997083333,-1.3865
BRCA448,BRCA,2.77425,1.182642857,3.269916667,2.697333333,2.880375,1.024833333,-0.9595833333
BRCA449,BRCA,1.7285,0.4487142857,2.40325,4.13025,2.290875,0.5751666667,-1.335916667
BRCA450,BRCA,1.70625,1.135,1.816916667,2.039833333,2.7895,0.743375,-1.417916667
BRCA451,BRCA,-3.226625,-0.6552857143,-0.2718333333,-3.3465,0.661875,0.3190833333,-0.3474166667
BRCA452,BRCA,1.614625,1.005071429,1.8865,2.485083333,2.714125,0.535,-0.821
BRCA453,BRCA,0.6325,0.6010714286,-1.0365,-2.581916667,1.2795,1.625083333,0.2479166667
BRCA454,BRCA,1.290875,0.3414285714,2.627166667,4.065416667,3.483,-0.5022916667,-1.826666667
BRCA455,BRCA,2.5085,1.119785714,2.357333333,3.0855,3.537,1.793375,-1.2655
BRCA456,BRCA,-0.3555,1.8415,1.193166667,1.387416667,0.858625,-2.776833333,-2.4165
BRCA457,BRCA,2.249125,1.257214286,1.766083333,2.614333333,3.585625,1.615416667,-1.11825
BRCA458,BRCA,0.966875,2.466071429,1.777083333,1.660916667,0.840875,-2.844833333,-1.210583333
BRCA459,BRCA,-1.011875,0.4223571429,-1.971416667,-1.544416667,-1.592375,-1.018041667,1.458583333
BRCA460,BRCA,0.769875,1.449928571,1.71425,3.414333333,1.17425,-2.049708333,-1.662583333
BRCA461,BRCA,1.34175,1.514571429,1.918166667,4.234083333,1.9055,-2.332833333,-0.8689166667
BRCA462,BRCA,0.13775,1.242071429,1.642583333,2.13925,1.050375,-1.103291667,-1.7575
BRCA463,BRCA,1.00375,1.737214286,1.60675,3.039,2.56375,1.2395,-1.048833333
BRCA464,BRCA,0.404125,1.659071429,1.9085,3.339416667,-0.099,-2.838125,-2.827583333
BRCA465,BRCA,2.01125,0.9594285714,2.966916667,5.369916667,-0.242,-0.4097083333,-1.437583333
BRCA466,BRCA,0.222125,1.637571429,0.6208333333,2.0235,0.51375,-3.5455,-2.487416667
BRCA467,BRCA,2.051125,0.8826428571,3.287166667,1.461083333,3.2195,0.6219583333,-0.696
BRCA468,BRCA,1.215625,1.436857143,1.37525,2.682666667,0.345,-2.528958333,-1.495416667
BRCA469,BRCA,-1.48875,0.2290714286,-0.2908333333,-2.048333333,2.254625,-0.9359583333,-0.2940833333
BRCA470,BRCA,0.0855,2.319642857,0.84025,3.11925,-0.03275,-1.77025,-2.074083333
BRCA471,BRCA,2.276125,0.7484285714,1.56325,0.502,0.724375,-0.25775,0.4546666667
BRCA472,BRCA,-0.015625,1.286285714,1.05925,2.90725,1.058125,-2.656125,-2.031916667
BRCA473,BRCA,2.751875,0.8634285714,3.468166667,4.580833333,3.448875,-1.4825,-1.79075
BRCA474,BRCA,1.932625,-0.1815,1.592,3.001583333,3.29825,1.270833333,-1.220333333
BRCA475,BRCA,0.03125,1.6015,1.679,3.034166667,1.25,-2.736083333,-2.167916667
BRCA476,BRCA,1.67825,0.4096428571,2.801333333,3.47975,1.908375,1.201666667,-0.3780833333
BRCA477,BRCA,0.365375,0.1325714286,0.8325833333,1.689,0.9905,-2.494166667,-1.98225
BRCA478,BRCA,-2.178875,1.205214286,-1.219166667,-1.492916667,2.169,-0.04491666667,-0.6066666667
BRCA479,BRCA,-3.446625,1.691642857,-2.26125,-0.4745833333,-1.891375,-0.8932083333,-2.536916667
BRCA480,BRCA,1.39125,1.022785714,1.390916667,3.734,2.709375,1.711916667,-1.07775
BRCA481,BRCA,2.237125,1.463285714,1.889833333,3.58525,-0.5725,1.273625,-1.28625
BRCA482,BRCA,0.657375,1.596071429,0.93425,2.233333333,0.691375,-2.359958333,-2.29725
BRCA483,BRCA,2.574375,0.9105,2.595083333,4.738333333,3.805,-0.07554166667,-2.08425
BRCA484,BRCA,0.01,1.155857143,1.342833333,2.9355,1.378375,-2.414916667,-1.902166667
BRCA485,BRCA,1.529875,0.9784285714,2.337666667,4.557166667,2.351625,0.009958333333,-1.736833333
BRCA486,BRCA,1.9105,1.433285714,2.316916667,2.871333333,3.987625,1.189083333,-0.1973333333
BRCA487,BRCA,0.3135,1.7435,1.310833333,3.115666667,1.900875,-1.754583333,-3.119416667
BRCA488,BRCA,1.51075,1.115142857,2.538,2.850583333,2.53525,-0.370625,-1.47075
BRCA489,BRCA,0.2335,1.980785714,0.8545833333,2.37425,1.06975,-2.16525,-2.274
BRCA490,BRCA,-2.970125,1.129,-0.05608333333,-1.65875,2.55,-0.06058333333,-1.424
BRCA491,BRCA,-1.502625,1.180642857,-0.731,0.6376666667,0.969,-0.636625,-1.370333333
BRCA492,BRCA,-0.696875,1.219571429,1.131166667,-0.8125,1.190625,1.225125,-0.5245
BRCA493,BRCA,3.4275,0.4990714286,2.523166667,5.089166667,-1.639375,-1.399333333,-1.694083333
BRCA494,BRCA,2.95175,0.5253571429,2.558583333,3.863333333,1.77975,1.731583333,-0.8714166667
BRCA495,BRCA,0.19925,1.8245,2.668916667,2.937333333,1.889375,1.449166667,-0.4108333333
BRCA496,BRCA,-3.538125,1.338071429,-0.5530833333,-3.062583333,1.078875,0.9150416667,-0.5895833333
BRCA497,BRCA,0.361,1.302857143,1.72675,-0.833,2.566,1.231833333,-0.70025
BRCA498,BRCA,1.99325,1.285571429,3.148833333,1.85425,2.197375,1.196125,-0.3235833333
BRCA499,BRCA,2.425125,0.22,1.280333333,2.423,1.45,-1.6255,-0.8081666667
BRCA500,BRCA,-1.074875,0.4012857143,0.3296666667,-1.133583333,-0.84975,-0.426875,-2.09375
BRCA501,BRCA,2.067875,0.469,3.26475,2.547333333,0.688375,1.550416667,-0.52425
BRCA502,BRCA,3.001875,0.1234285714,3.07825,4.425333333,0.204,-0.62275,-0.7720833333
BRCA503,BRCA,1.836375,1.503357143,1.166916667,3.202916667,2.320375,0.2457916667,-1.129583333
BRCA504,BRCA,1.090125,1.765428571,2.71075,-2.800333333,3.48225,0.8285833333,-0.4300833333
BRCA505,BRCA,1.045875,0.8196428571,1.050166667,2.828666667,0.21425,0.6142083333,-0.9444166667
BRCA506,BRCA,-0.70025,0.3022142857,-0.4628333333,-2.555333333,1.988625,1.782708333,-0.6191666667
BRCA507,BRCA,1.505625,0.3747857143,-0.75475,4.098166667,2.27525,1.270166667,-1.063333333
BRCA508,BRCA,2.975375,0.7028571429,3.599,3.949916667,2.067125,-2.360333333,-0.7323333333
BRCA509,BRCA,-1.124,-1.328214286,-1.828916667,-2.390083333,-0.495875,-1.105291667,-2.09125
BRCA510,BRCA,-0.359375,1.033214286,1.679416667,-2.538166667,2.547625,0.723375,-1.081833333
BRCA511,BRCA,1.673,0.3892857143,1.817333333,-0.809,0.199875,1.137,0.5315833333
BRCA512,BRCA,2.19025,-0.3206428571,0.6945833333,0.6365833333,3.296625,1.028333333,-1.094083333
BRCA513,BRCA,1.233875,1.133428571,1.510333333,0.9411666667,-1.503125,1.500375,-0.5913333333
BRCA514,BRCA,1.006375,1.3345,1.957333333,3.75175,-1.044,-0.04670833333,0.13625
BRCA515,BRCA,2.051,0.8245,2.540833333,3.102333333,3.3935,-1.0055,-1.45725
BRCA516,BRCA,1.687,0.9789285714,1.306,2.125916667,3.4325,0.07029166667,-0.393
BRCA517,BRCA,1.837,-0.7227142857,1.932583333,4.853333333,1.02425,0.9201666667,-0.67975
BRCA518,BRCA,2.455625,0.3429285714,2.013666667,4.803333333,0.08975,0.5257083333,-1.123
BRCA519,BRCA,-1.038625,0.2972142857,-0.7060833333,2.547833333,-1.330875,-0.7727083333,-0.8619166667
BRCA520,BRCA,-3.908875,0.1543571429,0.27625,-2.906166667,1.80075,0.9841666667,0.5671666667
BRCA521,BRCA,2.718875,1.505357143,2.972833333,4.199916667,1.379375,-0.680875,-1.18375
BRCA522,BRCA,1.586125,0.8503571429,2.998,2.774083333,2.592125,1.730083333,-1.070083333
BRCA523,BRCA,-1.39225,-0.1835,0.9815,-2.386083333,0.727875,1.857375,-1.109416667
BRCA524,BRCA,-2.502375,0.7807142857,0.42275,-3.8335,1.867875,-1.221958333,0.7793333333
BRCA525,BRCA,2.379875,0.8728571429,3.516583333,4.146083333,1.02275,-0.8919583333,-1.73325
BRCA526,BRCA,2.232625,0.7660714286,2.908583333,4.77975,3.324,1.4305,-1.517833333
BRCA527,BRCA,-3.499625,1.566857143,-0.5949166667,-3.26975,-1.205625,-0.8848333333,-0.6656666667
BRCA528,BRCA,2.419,0.6315714286,2.491416667,5.443666667,-0.988625,-0.1089166667,-1.45625
BRCA529,BRCA,2.394,0.8052857143,2.65575,4.415583333,2.818375,-0.9743333333,-1.680916667
