bcr_patient_barcode,dataset,GATA3,PTEN,XBP1,ESR1,MUC1,FN1,GAPDH
BRCA60,BRCA,1.92775,1.391642857,1.267333333,2.07275,2.72325,1.469166667,-1.381416667
BRCA61,BRCA,1.703,1.085928571,1.91125,1.6945,3.23775,0.91625,-1.260416667
BRCA62,BRCA,2.251375,2.1985,4.0255,4.373666667,2.689,0.316,-1.0945
BRCA63,BRCA,2.19425,0.8628571429,2.150833333,3.931416667,3.67175,1.253041667,-1.011416667
BRCA64,BRCA,-2.9355,-1.580428571,-0.9179166667,-3.901,0.460125,0.2147083333,0.036
BRCA65,BRCA,1.73025,0.8487142857,2.741833333,5.550333333,3.700625,-1.000666667,-2.150666667
BRCA66,BRCA,1.4315,0.2765714286,2.1425,3.448333333,3.106,0.15125,-0.7940833333
BRCA67,BRCA,2.021875,0.9054285714,3.273083333,3.743416667,2.20775,0.42825,-0.4113333333
BRCA68,BRCA,2.33425,0.1974285714,3.729833333,4.531583333,2.7145,0.119375,-1.806
BRCA69,BRCA,-4.565,0.6650714286,-1.395909091,-3.590083333,2.846375,-0.112375,-0.06041666667
BRCA70,BRCA,1.426125,1.190357143,2.215166667,3.8335,2.764125,-0.942375,-1.113333333
BRCA71,BRCA,1.97175,1.563571429,2.258583333,2.380583333,2.315375,-0.2852083333,-0.8106666667
BRCA72,BRCA,-2.713,0.4567142857,-1.59225,-2.920083333,0.868375,-0.477875,-0.26975
BRCA73,BRCA,1.498125,0.4205,2.02825,3.877416667,2.747875,-0.5942083333,-0.7910833333
BRCA74,BRCA,3.138875,0.6209285714,3.439666667,4.628583333,3.3215,-0.340375,-1.895666667
BRCA75,BRCA,-0.000125,1.692428571,3.201833333,3.97575,1.260375,-2.387416667,-2.11325
BRCA76,BRCA,-1.031,0.04664285714,-1.26275,-1.102416667,1.92175,0.113125,0.5825833333
BRCA77,BRCA,1.216,1.572285714,1.05275,4.65275,3.474,-0.05758333333,-1.844333333
BRCA78,BRCA,0.31875,0.8762142857,1.36375,3.155166667,1.686,-1.643791667,-1.773416667
BRCA79,BRCA,2.484625,0.6247142857,3.021833333,5.467583333,3.776875,1.021625,-1.3675
BRCA80,BRCA,2.42025,0.01585714286,2.3025,4.664916667,-1.9175,-0.3240416667,-0.5640833333
BRCA81,BRCA,-3.25025,2.041857143,-1.66775,0.5790833333,-2.793875,-1.91,-1.978166667
BRCA82,BRCA,2.834875,0.9175,3.127083333,3.284666667,1.377375,0.7399583333,-1.269416667
BRCA83,BRCA,-1.06175,0.4801428571,-0.7850833333,-3.342583333,2.144875,0.9299583333,-0.8343333333
BRCA84,BRCA,-3.86425,1.696357143,-1.375583333,0.03225,-2.4035,-0.4245,-1.782583333
BRCA85,BRCA,1.926625,-0.4208571429,2.0595,4.463083333,3.792,0.4409583333,-1.390666667
BRCA86,BRCA,-1.74525,-0.4275,-1.213083333,-3.038,2.97175,1.876125,0.4756666667
BRCA87,BRCA,-0.42975,1.748285714,0.84825,2.49125,0.22875,-1.627333333,-1.727333333
BRCA88,BRCA,-4.3955,0.8299285714,-1.344166667,-1.0925,0.867375,0.040125,-0.28475
BRCA89,BRCA,-0.75225,1.916357143,-0.0705,0.3524166667,-0.045625,-2.536625,-1.8955
BRCA90,BRCA,2.2625,1.066428571,3.16225,2.842333333,3.558,-0.006416666667,0.3268333333
BRCA91,BRCA,3.31925,-0.1027142857,3.654916667,5.613666667,1.4875,-2.523083333,-0.977
BRCA92,BRCA,0.788125,-0.261,3.210666667,4.579833333,0.04375,-0.3805,-1.205083333
BRCA93,BRCA,1.6045,0.8395,1.84875,3.09075,2.27425,1.447083333,-1.015833333
BRCA94,BRCA,0.8905,-0.03785714286,3.24275,3.485083333,2.792375,-2.2895,-0.6473333333
BRCA95,BRCA,1.100625,0.5286428571,1.280333333,4.430583333,2.146375,1.872708333,-0.3125833333
BRCA96,BRCA,2.375375,1.041857143,2.518583333,5.273916667,3.032125,-0.636125,-1.902583333
BRCA97,BRCA,2.674125,0.0002142857143,2.713833333,4.33925,-1.047,-0.021625,-1.1385
BRCA98,BRCA,3.715125,0.6488571429,0.89925,4.947,1.98875,-0.1990833333,-0.97975
BRCA99,BRCA,2.975125,0.5154285714,1.289666667,5.25875,2.2535,-0.7163333333,-1.556666667
BRCA100,BRCA,1.44025,0.7295,2.893916667,4.4275,2.715125,-1.390833333,-1.0885
BRCA101,BRCA,1.710625,0.5929285714,2.236833333,1.472583333,3.10175,1.179833333,-0.8428333333
BRCA102,BRCA,1.62275,0.6672142857,1.959583333,1.895666667,2.668125,1.188458333,-0.934
BRCA103,BRCA,2.59625,0.4413571429,2.92725,5.368333333,-2.34575,-0.2867083333,-1.230833333
BRCA104,BRCA,2.115375,0.8873571429,2.00975,3.031333333,0.72675,0.5050416667,-0.5411666667
BRCA105,BRCA,-4.39275,-0.1766428571,-1.121666667,-3.456,-1.89825,-0.2618333333,-0.12325
BRCA106,BRCA,1.210625,0.7713571429,2.232666667,4.135666667,3.08425,0.5267916667,-1.404666667
BRCA107,BRCA,1.926625,1.093428571,2.877833333,3.257166667,3.37025,0.1288333333,-1.4135
BRCA108,BRCA,1.7355,0.8824285714,3.052583333,4.657166667,3.30225,2.0435,-0.5229166667
BRCA109,BRCA,1.544,1.231071429,4.297666667,3.975083333,3.101,1.167416667,-0.8533333333
BRCA110,BRCA,2.47175,0.9640714286,1.477666667,2.488166667,2.7215,1.564416667,-1.116833333
BRCA111,BRCA,2.15475,0.6742857143,3.335333333,5.787583333,2.656625,0.5346666667,-0.1400833333
BRCA112,BRCA,-2.05,0.7257142857,-1.003,-1.670583333,3.2685,-0.5731666667,-1.018
BRCA113,BRCA,1.136,0.7600714286,3.734583333,4.757416667,2.345375,-0.64225,-1.32275
BRCA114,BRCA,-0.931375,-0.1015714286,-0.517,-4.415333333,0.996625,-0.36875,-0.616
BRCA115,BRCA,2.733375,1.313428571,3.771833333,4.618416667,2.67175,0.3404166667,-1.394333333
BRCA116,BRCA,-0.690625,0.5535,1.1575,-0.4566666667,1.841,0.2897916667,0.3629166667
BRCA117,BRCA,0.88925,0.8318571429,2.297916667,5.12,0.124625,2.074875,-1.0135
BRCA118,BRCA,3.146,0.8196428571,3.082416667,4.397,3.08675,-0.4687083333,-0.9168333333
BRCA119,BRCA,1.476875,0.04142857143,2.965666667,4.810916667,2.206875,-0.7255416667,-0.6995
BRCA120,BRCA,2.340375,0.4781428571,2.765166667,3.534083333,1.78975,0.7846666667,-0.5016666667
BRCA121,BRCA,3.867625,0.5050714286,3.516083333,5.903,2.856875,-1.345208333,-1.882583333
BRCA122,BRCA,2.325375,0.4090714286,2.49775,4.13025,3.69825,1.40875,-1.346583333
BRCA123,BRCA,2.07175,1.1755,2.284583333,4.26625,-1.6605,0.6602916667,-1.84625
BRCA124,BRCA,1.814875,0.8925,2.339583333,3.980416667,-1.551875,1.455083333,-1.271083333
BRCA125,BRCA,2.41475,-0.7290714286,2.672416667,4.515583333,3.3885,0.940125,-1.503333333
BRCA126,BRCA,2.15,0.2873571429,2.840416667,2.43725,2.952375,1.651083333,-0.4780833333
BRCA127,BRCA,2.650125,0.733,2.378833333,5.09175,3.834375,0.079625,-1.7795
BRCA128,BRCA,1.50675,0.07678571429,2.381,4.2345,1.466875,1.194208333,-1.284666667
BRCA129,BRCA,3.3445,0.5627142857,3.451333333,4.48475,2.06675,0.3644166667,-0.62925
BRCA130,BRCA,-1.3665,0.7260714286,-0.7105833333,2.273833333,0.045625,1.178625,-1.61875
BRCA131,BRCA,1.404625,0.6275,2.5055,5.251166667,1.63975,-1.611166667,-0.9141666667
BRCA132,BRCA,2.34275,0.8727142857,0.3498333333,0.58725,1.21025,1.297541667,-0.32675
BRCA133,BRCA,0.88225,0.558,2.051416667,1.588333333,0.949875,-0.05670833333,-1.465916667
BRCA134,BRCA,2.413375,1.050857143,2.622166667,2.847666667,2.739375,1.3945,-1.052166667
BRCA135,BRCA,0.919875,0.5575714286,2.292916667,2.995416667,2.518625,0.951375,-0.7465833333
BRCA136,BRCA,-3.77425,0.4211428571,0.5306666667,-2.972,1.107,0.05016666667,-1.279666667
BRCA137,BRCA,2.62875,1.101571429,3.11975,4.609833333,2.758625,0.6015416667,-0.2695833333
BRCA138,BRCA,2.28425,0.5215714286,2.499583333,4.208333333,3.3165,0.5697083333,-1.014083333
BRCA139,BRCA,-1.908375,0.5701428571,1.6075,-1.590416667,1.581625,1.09125,-1.499833333
BRCA140,BRCA,2.436625,0.9417857143,1.699833333,2.872916667,3.08125,2.237625,-0.7945833333
BRCA141,BRCA,2.420125,0.8587857143,1.732416667,4.753333333,2.99025,0.6354166667,-0.8254166667
